ʻApelika	非洲
Iāpana	日本
‘Amelika Hema	南美洲
Nolewai	挪威
ʻIlelani	爱尔兰共和国
Hunakalia	匈牙利
Sepania	西班牙
‘Amelika Hui Pū ‘ia	美国
Pelekiuma	比利时
Lukemapuka	卢森堡
Honua	地球
Keoki Wakinekona	乔治·华盛顿
Pinilana	芬兰
Kuekene	瑞典
Kenemaka	丹麦
Pōlani	波兰
Lituania	立陶宛
ʻĪkālia	意大利
Kuikilani	瑞士
ʻAukekulia	奥地利
Helene	希腊
Tureke	土耳其
Potugala	葡萄牙
‘Eulopa	欧洲
‘Ākia	亚洲
‘Amelika ‘Ākau	北美洲
‘Ane‘ālika	南极洲
Wikipikia	维基百科
Hōlani	荷兰
Wakinekona, D.C.	华盛顿哥伦比亚特区
Kapalakiko	旧金山
Pelelina	柏林
Barack Obama	贝拉克·奥巴马
Lākana	伦敦
Palika	巴黎
Mekiko	墨西哥
Moana ʻAkelanika	大西洋
Moana Pākīpika	太平洋
Kaleponi	加利福尼亚州
Pokekona	波士顿
Pō‘akahi	星期一
Ianuali	1月
Pepeluali	2月
Malaki	3月
Hōkū‘ula	火星
Kenia	肯尼亚
‘Aikiopia	埃塞俄比亚
‘Apelila	4月
Mei	5月
Iune	6月
Iulai	7月
‘Aukake	8月
Kepakemapa	9月
‘Okakopa	10月
Nowemapa	11月
Kēkēmapa	12月
Pō‘alua	星期二
Pō‘akolu	星期三
Pō‘ahá	星期四
Pō‘alima	星期五
Pō‘aono	星期六
Pōpule	星期日
Liona	狮
Palani	法国
‘Ōlelo Ekepelānako	世界语
Aupuni Mōʻī Hui Pū ʻia	英国
Pōpoki	猫
Kina	中华人民共和国
‘Ōlelo Palani	法语
Palakila	巴西
Rūsia	俄罗斯
Pai (makemakika)	圓周率
‘Alapama	亚拉巴马州
Kelemānia	德国
Belarusa	白俄罗斯
ʻĀina Hau	冰岛
ʻEsetonia	爱沙尼亚
Makulu	土星
1 (helu)	1
Lakawia	拉脫維亞
ʻUkelena	乌克兰
Tiekia	捷克
Solowakia	斯洛伐克
Solowenia	斯洛文尼亚
Molodowa	摩尔多瓦
Romānia	羅馬尼亞
Pulukalia	保加利亚
Loma	罗马
Repupalika o Masedonia	馬其頓共和國
ʻAlepania	阿尔巴尼亚
Koloatia	克罗地亚
Bosenia me Hesegowina	波斯尼亚和黑塞哥维那
‘Akepaikana	阿塞拜疆
ʻAnakola	安道尔
Kupelo	賽普勒斯
Keokia	格鲁吉亚
Kasakana	哈萨克斯坦
Malata	马耳他
Monako	摩纳哥
Montenegero	蒙特內哥羅
Wakikana	梵蒂冈
Sana Marino	圣马力诺
‘Inidonesia	印度尼西亚
Wolfgang Amadeus Mozart	沃尔夫冈·阿马德乌斯·莫扎特
Ludwig van Beethoven	路德维希·范·贝多芬
‘Alekelia	阿尔及利亚
Kelewikiona	电视
Chile	智利
Ukaliali‘i	水星
Hōkūloa	金星
Ka‘āwela	木星
Hele‘ekela	天王星
Nepekune	海王星
Kilo hōkū	天文學
Sinapoa	新加坡
Akeakamai	科学
Likenekaina	列支敦斯登
Makemakika	数学
Baharaina	巴林
‘Āmēnia	亞美尼亞
Seripia	塞尔维亚
‘Aukekulelia	澳大利亚
Kālaikūlohea	物理学
‘Alekina	阿根廷
Kālaimeaola	生物学
Kōlea ʻĀkau	朝鲜民主主义人民共和国
Kamabodia	柬埔寨
Nalala	恐龙
Hoʻomana Mohameka	伊斯兰教
Kālailau nahele	植物学
Sofia	索菲亞
Kūlanakauhale	城市
Lā	太阳
Kahua o nā hōkū	太阳系
Haikokene	氢
Hiliuma	氦
Likiuma	锂
Beryllium	铍
Makahiki	年
Oslo	奥斯陆
Likepona	里斯本
Rhône (kahawai)	罗纳河
Boron	硼
Kalepona	碳
Naikokene	氮
‘Okikene	氧
Hōkū hele	行星
Mokekao	莫斯科
Fluorine	氟
ʻŌlelo ʻĪkālia	意大利语
Nīane	氖
Sodiuma	钠
Makanekiuma	镁
‘Aluminuma	铝
‘Īnia	印度
Silikone	硅
Pokepola	磷
Sulufura	硫
Kolorine	氯
William Shakespeare	威廉·莎士比亚
‘Aragona	氩
Potasiuma	钾
Kalipuna	钙
Monokolia	蒙古国
Scandium	钪
Titanium	钛
Vanadium	钒
Maine	缅因州
Lio	马
Hoʻomana Buda	佛教
Nū Hamekia	新罕布什尔州
Leonardo da Vinci	列奥纳多·达·芬奇
Makakukeka	麻薩諸塞州
Konekikuka	康乃狄克州
Hawai‘i	夏威夷州
Moana ʻĀlika	北冰洋
Heiti	海地
‘Ilana	伊朗
‘Ilaka	伊拉克
‘Ālaka	阿拉斯加州
ʻIseraʻela	以色列
Panamā	巴拿马
Iemene	也门
Ioredāne	约旦
Pololika	佛罗里达州
Kaikikana	吉尔吉斯斯坦
‘Alikona	亞利桑那州
Kuete	科威特
Laosa	老挝
Lepanona	黎巴嫩
‘Olekona	俄勒冈州
Maladiwa	马尔代夫
Uka	犹他州
Malaisia	马来西亚
Puruma	缅甸
Nepala	尼泊尔
ʻOmana	阿曼
Pakitana	巴基斯坦
Katala	卡塔尔
Saudi ʻAlapia	沙特阿拉伯
Sililanaka	斯里蘭卡
Suria	叙利亚
Pokémon	口袋妖怪系列
Tailani	泰国
Wiekanama	越南
‘Apekanikana	阿富汗
Banagaladesa	孟加拉国
Butana	不丹
Brunei	文莱
ʻĀina Pilipino	菲律宾
Isaac Newton	艾萨克·牛顿
Albert Einstein	阿尔伯特·爱因斯坦
Tunisia	突尼西亞
Beijing	北京市
Burakina Faso	布吉納法索
ʻElikilea	厄立特里亚
Mauritiusa	毛里求斯
Iulius Caesar	尤利烏斯·凱撒
Hamepuka	汉堡
Huli honua	地质学
Mikikana	密歇根州
‘Ilinoe	伊利诺伊州
Tulinia	图林根
Kakoka ‘Ākau	北达科他州
Kakoka Hema	南达科他州
Monekana	蒙大拿州
Waiomina	怀俄明州
‘Ikahō	爱达荷州
Wakinekona	华盛顿州
Moana ʻIniana	印度洋
Kololako	科羅拉多州
ʻAlepa	阿尔卑斯山
Kikako, ʻIlinoe	芝加哥
‘Ōlelo Sepania	西班牙语
Montevideo	蒙得维的亚
Johann Sebastian Bach	约翰·塞巴斯蒂安·巴赫
Wilikinia	弗吉尼亚州
Wilikinia Komohana	西維吉尼亞州
Nuioka	纽约州
Loke ‘Ailana	羅德島州
Melelana	马里兰州
Kelawea	特拉华州
‘Ohaio	俄亥俄州
Penekelewinia	宾夕法尼亚州
Uetersen	于特森
Augustus	奥古斯都
Nū ‘Ieleke	新泽西州
‘Ōlelo Pinilana	芬兰语
‘Inikiana	印第安纳州
Keokia (‘Amelika Hui Pū ‘ia)	喬治亞州
Kekeka	德克萨斯州
Kalolaina Hema	南卡罗来纳州
Seine	塞纳河
Buenos Aires	布宜諾斯艾利斯
Mēkiko D.F.	墨西哥城
Mikikipi	密西西比州
Kenekī	田纳西州
Nū Mekiko	新墨西哥州
‘Akenai	雅典
Minekoka	明尼蘇達州
Wikonekina	威斯康辛州
‘Iowa	艾奥瓦州
Nepalaka	內布拉斯加州
Kanekaka	堪薩斯州
Mikouli	密蘇里州
Luikiana	路易斯安那州
Kenekuke	肯塔基州
‘Akanaka	阿肯色州
‘Okalahoma	奧克拉荷馬州
Makekepuka	马格德堡
Reykjavík	雷克雅維克
Paipala	聖經
Thulium	铥
Ka Ho‘omana Iesū ‘Oia‘i‘o	真耶稣教会
‘Ōlelo Pelekania	英语
Đồng Hới	同海市
Concepción, Chile	康塞普西翁 (智利)
Końskowola	孔斯科沃拉
2000	2000年
2003	2003年
2002	2002年
2001	2001年
2009	2009年
2008	2008年
2004	2004年
2005	2005年
2006	2006年
2007	2007年
Lipekika	莱比锡
1998	1998年
1999	1999年
Kurów	库鲁夫
Kemika	化學
Makelika	马德里
Lima	利馬
Santiago de Chile	圣地亚哥-德智利
Quito	基多
Ankara	安卡拉
Riyadh	利雅德
Kamakeko	大马士革
Amman	安曼
Muscat	马斯喀特
Wikipedia:Sandbox	Wikipedia:沙盒
Wehimala	魏玛
Osasco	奥萨斯库
Dong Hoi Airport	同海機場
Curitiba	庫里奇巴
Zichyújfalu	齐奇尤伊福卢
Sarah Bernhardt	莎拉·伯恩哈特
Mauna Kana Helena	圣海伦火山
Mokuhonua	洲
Kapikala	首都
Monzón	蒙宗
Almazán	艾爾瑪善鎮
Puke noi‘i kū‘ikena	百科全书
Ka papa kinohi	Wikipedia:首页
Vincent van Gogh	文森特·梵高
Frida Kahlo	芙烈達·卡蘿
Michelangelo	米开朗基罗
Pablo Picasso	巴勃羅·畢卡索
Raffael Santi	拉斐尔·圣齐奥
Rembrandt	伦勃朗
Frank Lloyd Wright	弗蘭克·勞埃德·賴特
Matsuo Bashō	松尾芭蕉
Castille a Leon	卡斯蒂利亚-莱昂
Meka	麥加
Gabriel García Márquez	加夫列尔·加西亚·马尔克斯
Johann Wolfgang von Goethe	约翰·沃尔夫冈·冯·歌德
Māhele:Candidates for speedy deletion	Category:快速删除候选
Kaumokuʻāina	国家
Homer	荷马
Hōʻole Akua	无神论
Kālaikaiaola	生态学
Kālaiʻāina	政治
Aupuni	政府
Qin Shi Huang	秦始皇
Tolstoi	列夫·托爾斯泰
Moku‘āina	國 (政治)
ʻŌlelo Lūkini	俄语
‘Ōlelo Pākē	汉语
Nelson Mandela	纳尔逊·曼德拉
Makani Pāhili	熱帶氣旋
Moʻokalaleo	文學
Māhele:Palani	Category:法国
Oboe	雙簧管
ʻOlumepika Kauwela ma 2008	2008年夏季奥林匹克运动会
Granada	格拉纳达
ʻĀtoma	原子
Lāpaki	兔
Mohameka	穆罕默德
Burgos	布尔戈斯
Ronald Reagan	罗纳德·里根
‘Ōlelo Zaza	扎扎其語
Māhele:Palakila	Category:巴西
Kumumea kemikala	化學元素
‘Ohe kani	笛
ʻAlea	面积
Hulahula	舞蹈
Papa o nā ʻāina	世界政區索引
Miranda de Ebro (Burgos)	埃布罗河畔米兰达
Kuli	聾
Ponferrada	蓬费拉达
Santander	桑坦德 (西班牙)
Helu piha	整数
Malgrat de Mar	滨海马尔格拉特
‘Ōlelo ‘Alapia	阿拉伯语
Tiranosauru	暴龍屬
Terikeratopa	三角龍屬
Setegasauru	劍龍屬
Barakiosauru	腕龍屬
Welokirapetoa	伶盜龍屬
Hae	旗幟
‘Ulu	麵包樹
Aupuni kiwikā	基层政权
Salamanca	萨拉曼卡
Zamora (España)	萨莫拉 (西班牙)
León (España)	莱昂 (西班牙)
Anakuhi:Link FA	Template:Link FA
Welemoneka	佛蒙特州
Houston, Kekeka	休斯敦
Pēniki	鳳凰城 (亞利桑那州)
Kakalameko	沙加緬度
Honolulu, Hawaiʻi	檀香山
Kauoha Hou	新約聖經
Rafael Correa	拉斐尔·科雷亚
Louvre	卢浮宫
‘Ao‘ao Kū‘oko‘a Pokoliko	波多黎各獨立黨
Kalikimaka	圣诞节
Mo‘ai	摩艾石像
Hoʻolele hualono	播客
Friedrich Schiller	弗里德里希·席勒
Jean Auguste Dominique Ingres	让·奥古斯特·多米尼克·安格尔
Pule	星期
Cervidae	鹿科
Pule Alaka‘i A Ka Haku	主禱文
Musée d'Orsay	奥赛博物馆
Mokupuni	島嶼
Moshchena	穆夏那
ʻōhiʻa lomi	番茄
Paltoga	帕托加
Panalā‘au o Quảng Binh	廣平省
Bryan Cranston	布莱恩·科兰斯顿
Felidae	猫科
Pichilemu	披市勒亩
Canidae	犬科
Karlstad	卡尔斯塔德
Bovidae	牛科
Phocidae	海豹
ʻAnekelopa	羚羊
‘Amelika	亚美利加
Cabañas Raras	卡瓦尼亚斯拉拉斯
Ardón (León)	阿尔东 (莱昂省)
Algadefe	阿尔加德费
Acebedo	阿塞韦多
Los Barrios de Luna	洛斯瓦里奥斯德卢纳
Fresno de la Vega	夫雷斯诺德拉韦加
La Antigua (Sepania)	兰蒂瓜
Almanza	阿尔曼萨 (莱昂省)
El Burgo Ranero	埃尔武尔戈拉内罗
Boca de Huérgano	博卡德韦尔加诺
Bustillo del Páramo	布斯蒂略德尔帕拉莫
Boñar	博尼亚尔
Alija del Infantado	阿利哈德林凡塔多
Brazuelo	布拉苏埃洛
Berlanga del Bierzo	贝尔兰加德尔维耶尔索
Cabreros del Río	卡夫雷罗斯德尔里奥
Bercianos del Real Camino	贝尔西亚诺斯德尔雷亚尔卡米诺
Burón (León)	布龙
Bercianos del Páramo	贝尔西亚诺斯德尔帕拉莫
