Afrika	非洲
Poellad frank	自由软件
Kemper	坎佩尔
Mari, mamm Jezuz	馬利亞 (耶穌的母親)
Loeiz IX (Bro-C'hall)	路易九世 (法兰西)
Liechtenstein	列支敦斯登
Sport	体育运动
Cambridge	劍橋
Park broadel Yellowstone	黃石國家公園
Adolf Hitler	阿道夫·希特勒
Blanca Kastilha	卡斯蒂利亚的布兰卡
Facebook	Facebook
WikiLeaks	維基解密
Brezel-bed kentañ	第一次世界大战
Eil Brezel-bed	第二次世界大战
Köln	科隆
Augusto Pinochet	奥古斯托·皮诺切特
Wikiarroud	维基语录
Horolaj	時鐘
Ubuntu	Ubuntu
Skopje	斯科普里
Gdynia	格丁尼亚
Linux	Linux
Bob Dylan	鲍勃·迪伦
Szczecin	什切青
Matematik	数学
Latin	拉丁语
Bahrein	巴林
Armenia	亞美尼亞
Jenna Jameson	珍娜·詹姆森
Skritur gennheñvel	楔形文字
Bozon Higgs	希格斯玻色子
Serbia	塞尔维亚
Loar	月球
Istanbul	伊斯坦堡
Aostralia	澳大利亚
Bob Marley	巴布·馬利
Fizik	物理学
Arc'hantina	阿根廷
Pellgehenterezhioù	电信
Perou	秘鲁
Bevoniezh	生物学
Nijell dianavez	不明飞行物
Republik Poblel ha Demokratel Korea	朝鲜民主主义人民共和国
Kambodja	柬埔寨
Gourizad Kuiper	柯伊伯带
Koran	古兰经
Dinosaor	恐龙
Loenoniezh	动物学
Islam	伊斯兰教
Levraoueg Aleksandria	亚历山大图书馆
Ljubljana	卢布尔雅那
Salvador Allende	萨尔瓦多·阿连德
Louzawouriezh	植物学
Lech Wałęsa	莱赫·瓦文萨
Rod	輪
Peoc'h	和平
Encyclopædia Britannica	大英百科全书
Lyon	里昂
Unaniezh Europa	欧洲联盟
Plovdiv	普罗夫迪夫
Star Wars	星際大戰
Rhône-Alpes	罗纳-阿尔卑斯
World Wide Web	万维网
Maouez	女性
Sofia	索菲亞
Ñ	Ñ
Derwal	代尔瓦
Don Quijote de la Mancha	堂吉诃德
Barzhoniezh	诗歌
Leziregezh	懶惰
Bombezadennoù atomek Hiroshima ha Nagasaki	廣島與長崎原子彈爆炸
Milano	米蘭
Arthur Rimbaud	阿蒂尔·兰波
Torino	都灵
Kaoc'h	糞便
Fraezh	肛门
Suraval	柠檬
Charles Baudelaire	夏尔·波德莱尔
Stendhal	司汤达
Bananez	香蕉
Émile Zola	埃米尔·左拉
666	666年
