Africa	非洲
Iaponia	日本
America Australis	南美洲
Norvegia	挪威
Anglia	英格兰
Scotia	蘇格蘭
Cambria	威爾士
Hibernia Septentrionalis	北爱尔兰
Hibernia (res publica)	爱尔兰共和国
Hungaria	匈牙利
Hispania	西班牙
Civitates Foederatae Americae	美国
Belgica	比利时
Luxemburgum	卢森堡
Universum	宇宙
Tellus (planeta)	地球
Vita	生命
Mors	死亡
Homo sapiens	人
Felicitas	快樂
Georgius Washingtonius	乔治·华盛顿
Duglassius Adams	道格拉斯·亚当斯
Timotheus Ioannes Berners-Lee	蒂姆·伯纳斯-李
Sescenti sexaginta sex	獸名數目
Imagine (carmen)	Imagine (歌曲)
Stanley Kubrick	斯坦利·库布里克
Calendarium Mayense	瑪雅曆
Finnia	芬兰
Suecia	瑞典
Dania	丹麦
Polonia	波兰
Lituania	立陶宛
Italia	意大利
Helvetia	瑞士
Austria	奥地利
Graecia	希腊
Turcia	土耳其
Cervesia	啤酒
Portugallia	葡萄牙
Europa	欧洲
Asia	亚洲
America Septentrionalis	北美洲
Antarctica	南极洲
Vicipaedia	维基百科
All your base are belong to us	All your base are belong to us
Nederlandia	荷兰
Penis	阴茎
PHP	PHP
Novum Eboracum (urbs)	纽约
Vasingtonia (D.C.)	华盛顿哥伦比亚特区
Franciscopolis (California)	旧金山
Berolinum	柏林
Angelopolis	洛杉矶
Airbus	空中客车
Computatrum	電子計算機
Berna (urbs)	伯尔尼
Genava	日内瓦
Turicum (urbs)	苏黎世
Interrete	互联网
Baracus Obama	贝拉克·奥巴马
Uraquaria	乌拉圭
Basilea	巴塞尔
Typographum	打印机
MediaVici	MediaWiki
Londinium	伦敦
Cairus	开罗
Capitis dolor	頭痛
Alexandria	亚历山大港
Malum	苹果
Lutetia	巴黎
Abrahamus Lincoln	亚伯拉罕·林肯
Google	Google
Mexicum	墨西哥
Oceanus Atlanticus	大西洋
Oceanus Pacificus	太平洋
California	加利福尼亚州
Bostonia	波士顿
Dies lunae	星期一
Spatium	空间 (物理)
Ianuarius	1月
Februarius	2月
Martius	3月
Mars (planeta)	火星
Mars (deus)	玛尔斯
Kenia	肯尼亚
Aethiopia	埃塞俄比亚
Gana	加纳
Aprilis	4月
Maius	5月
Iunius	6月
Iulius	7月
Sextilis	8月
September	9月
October	10月
November	11月
December	12月
Dies Martis	星期二
Dies Mercurii	星期三
Dies Iovis	星期四
Dies Veneris	星期五
Dies Saturni	星期六
Dies solis	星期日
Episcopus (scacci)	象 (國際象棋)
Pedes (scacci)	兵 (國際象棋)
Equus (scacci)	馬 (國際象棋)
Turris (scacci)	車 (國際象棋)
Rex (scacci)	王 (國際象棋)
Regina (scacci)	后 (國際象棋)
Leo	狮
Francia	法国
Lingua Esperantica	世界语
Canis	犬
Britanniarum Regnum	英国
Feles	猫
Res publica popularis Sinarum	中华人民共和国
Lingua Francogallica	法语
Victionarium	维基词典
Piscis	鱼
Ethanol	乙醇
Brasilia	巴西
Alcohol	醇
Franciscus Hollande	弗朗索瓦·奥朗德
Russia	俄罗斯
Cetacea	鯨目
Fibra optica	光導纖維
Isuria	約克郡
Quadrum	正方形
Mare	海
Pontus Euxinus	黑海
Numerus pi	圓周率
Pi (littera Graeca)	Π
Vici	Wiki
Torontum	多伦多
Alabama	亚拉巴马州
Paulopolis	聖保羅 (巴西)
Sanctus Paulus (provincia)	圣保罗州
Quebecum	魁北克
Placenta Neapolitana	比萨饼
Pasta	意式麵食
Vicimedia	维基媒体基金会
Iacobus Wales	吉米·威爾斯
Germania	德国
Ruthenia Alba	白俄罗斯
Laurentius Sanger	拉里·桑格
Hymnus Mameli	意大利人之歌
Lingua Theodisca	德语
Islandia	冰岛
Deus	神 (一神教)
Estonia	爱沙尼亚
David Cameron	戴维·卡梅伦
Saturnus (planeta)	土星
Socolata	巧克力
Cerasus (pomum)	樱
Aëroplanum	固定翼飛機
Bellum	战争
Unus	1
Duo	2
Tres	3
Quattuor	4
Quinque	5
0	0
Infinitas	无穷
Stephanus Harper	史蒂芬·哈珀
Georgius W. Bush	乔治·沃克·布什
Rectangulum	矩形
Lettonia	拉脫維亞
Ucraina	乌克兰
Cechia	捷克
Slovacia	斯洛伐克
Slovenia	斯洛文尼亚
Vilna	维尔纽斯
Res publica Moldavica	摩尔多瓦
Romania	羅馬尼亞
Bulgaria	保加利亚
Roma	罗马
Res publica Macedonica	馬其頓共和國
Albania	阿尔巴尼亚
Groenlandia	格陵兰
Croatia	克罗地亚
Bosnia et Herzegovina	波斯尼亚和黑塞哥维那
